"Jose_Maria_Merino_1" "Jose_Maria_Merino_2" "Jose_Maria_Merino_3" "Jose_Maria_Merino_4" "Jose_Maria_Merino_5" "Jose_Maria_Merino_6" "Jose_Maria_Merino_7" "Juan_Pedro_Aparicio_1" "Juan_Pedro_Aparicio_2" "Juan_Pedro_Aparicio_3" "Juan_Pedro_Aparicio_4" "Juan_Pedro_Aparicio_5" "Juan_Pedro_Aparicio_6" "Juan_Pedro_Aparicio_7" "Luis_Mateo_Diez_1" "Luis_Mateo_Diez_2" "Luis_Mateo_Diez_3" "Luis_Mateo_Diez_4" "Luis_Mateo_Diez_5" "Luis_Mateo_Diez_6" "Luis_Mateo_Diez_7"
"de" 7.96545105566219 6.47163120567376 7.96100731112916 8.14070351758794 8.30704521556257 7.66389658356417 6.60660660660661 6.55066530194473 6.58682634730539 5.98146588037068 5.67441860465116 6.35551142005958 6.66032350142721 7.03703703703704 5.76293385723641 5.41979949874687 7.17741935483871 6.0431654676259 7.28744939271255 6.58914728682171 7.0636310566258
"la" 3.55086372360845 5.58510638297872 4.06173842404549 7.23618090452261 3.15457413249211 3.32409972299169 4.2042042042042 6.0388945752303 3.47305389221557 4.80202190395956 4 3.97219463753724 4.18648905803996 3.7037037037037 5.95939751146038 5.32581453634085 5.88709677419355 7.12230215827338 4.31848852901484 4.00516795865633 7.47227086981903
"que" 2.7831094049904 4.16666666666667 2.92445166531275 3.41708542713568 3.68033648790747 3.32409972299169 3.4034034034034 5.11770726714432 3.95209580838323 4.80202190395956 4 4.56802383316783 5.32825880114177 4.07407407407407 5.04256712508186 3.66541353383459 5 6.0431654676259 4.18353576248313 3.10077519379845 6.42148277875073
"y" 3.93474088291747 2.65957446808511 2.59951259138911 3.11557788944724 3.04942166140904 2.77008310249307 3.2032032032032 3.07062436028659 2.87425149700599 2.35888795282224 2.97674418604651 2.28401191658391 2.85442435775452 2.59259259259259 3.33988212180747 2.85087719298246 2.25806451612903 2.37410071942446 2.69905533063428 4.1343669250646 2.91885580852306
"el" 2.39923224568138 3.10283687943262 2.03086921202275 1.30653266331658 2.73396424815983 2.67774699907664 2.4024024024024 2.2517911975435 2.87425149700599 3.3698399326032 2.41860465116279 2.8798411122145 2.7592768791627 2.03703703703704 3.01244269810085 3.00751879699248 2.74193548387097 2.66187050359712 2.56410256410256 2.71317829457364 2.15995329830706
"en" 2.68714011516315 2.92553191489362 3.89926888708367 2.31155778894472 2.10304942166141 3.41643582640813 3.003003003003 2.35414534288639 2.15568862275449 2.5273799494524 1.67441860465116 2.58192651439921 1.14176974310181 2.87037037037037 2.35756385068762 2.78822055137845 2.01612903225806 1.79856115107914 2.15924426450742 2.58397932816537 2.8604786923526
"a" 1.34357005758157 1.95035460992908 2.27457351746548 2.1105527638191 2.52365930599369 1.66204986149584 1.6016016016016 1.74002047082907 1.79640718562874 2.02190395956192 2.6046511627907 1.5888778550149 2.37868696479543 2.68518518518519 1.63719711853307 2.13032581453634 1.61290322580645 1.36690647482014 2.02429149797571 0.387596899224806 1.57618213660245
"un" 1.24760076775432 1.24113475177305 0.731112916328188 0.703517587939699 0.525762355415352 1.38504155124654 1.3013013013013 1.12589559877175 1.43712574850299 1.6849199663016 2.32558139534884 1.2909632571996 1.33206470028544 1.11111111111111 0.851342501637197 1.31578947368421 1.61290322580645 0.79136690647482 1.21457489878543 1.29198966408269 0.817279626386456
"se" 0.863723608445297 0.709219858156028 1.38099106417547 1.20603015075377 1.36698212407992 1.20036934441367 0.700700700700701 1.43295803480041 0.838323353293413 1.93765796124684 1.3953488372093 1.48957298907646 1.33206470028544 0.648148148148148 1.30975769482646 0.908521303258145 2.09677419354839 1.51079136690647 0.67476383265857 0.387596899224806 0.99241097489784
"los" 2.30326295585413 0.620567375886525 1.05605199025183 1.60804020100503 1.47213459516299 2.49307479224377 1.1011011011011 1.33060388945752 1.19760479041916 0.50547598989048 0.837209302325581 1.09235352532274 1.42721217887726 1.11111111111111 1.17878192534381 0.845864661654135 1.20967741935484 0.287769784172662 1.34952766531714 1.03359173126615 0.99241097489784
"del" 1.34357005758157 1.15248226950355 1.6246953696182 1.4070351758794 1.7875920084122 1.38504155124654 1.5015015015015 1.22824974411464 1.31736526946108 1.34793597304128 0.930232558139535 0.893743793445879 1.52235965746908 1.2962962962963 1.11329404060249 0.93984962406015 1.04838709677419 0.143884892086331 0.944669365721997 0.516795865633075 0.758902510215995
"con" 1.05566218809981 1.06382978723404 0.731112916328188 0.904522613065327 1.15667718191377 1.10803324099723 1.5015015015015 0.614124872057318 0.598802395209581 1.43218197135636 1.11627906976744 1.19165839126117 1.14176974310181 0.555555555555556 1.17878192534381 1.09649122807018 0.806451612903226 1.29496402877698 0.67476383265857 1.93798449612403 0.758902510215995
"lo" 0.575815738963532 0.886524822695035 0.487408610885459 1.50753768844221 0 0.554016620498615 1.3013013013013 0.921187308085977 0.479041916167665 1.01095197978096 0.930232558139535 0.99304865938431 0.856327307326356 0.833333333333333 0.720366732154551 0.75187969924812 1.85483870967742 2.51798561151079 0.944669365721997 1.16279069767442 1.57618213660245
